News,Date
Students’ Backed Unit Trust Fund Launched in Kenya,"NOVEMBER 1, 2019"
"Press Release; Digital Lenders Adopt Self-Regulation, Ethics and Professionalism","OCTOBER 31, 2019"
Government to Transfer its Stake in Mumias Sugar to Kakamega County,"OCTOBER 30, 2019"
Nigeria’s Access Bank to Acquire Transnational Bank of Kenya,"OCTOBER 28, 2019"
Kenyan Market Weekly Update,"OCTOBER 21, 2019"
National Bank Gets New Board of Directors,"OCTOBER 17, 2019"
Market Down Slightly at the Beginning of the Week,"OCTOBER 16, 2019"
Kenya Market Report 09/10/2019,"OCTOBER 9, 2019"
Equity Market Activity Slows Down,"OCTOBER 9, 2019"
Focusing on Enterprise Development will Increase Financial Inclusion for MSMEs,"OCTOBER 9, 2019"
Portland Cement Intends to Sell Land to Offset Debt,"OCTOBER 4, 2019"
NSSF Takes A Hit From Layoffs and Late Disbursements.,"OCTOBER 2, 2019"
Court Grants Uchumi 30 Days to Engage with its Creditors,"OCTOBER 2, 2019"
NIC-CBA merger takes effect,"OCTOBER 1, 2019"
NIC-CBA Merger a Done Deal,"SEPTEMBER 28, 2019"
Why Mumias Sugar was suspended from trading at the NSE,"SEPTEMBER 26, 2019"
Central Bank expects more Consolidation in Kenya’s Banking business,"SEPTEMBER 26, 2019"
NSE suspends Mumias Sugar shares from trading,"SEPTEMBER 25, 2019"
Paul Russo confirmed as NBK’s managing director,"SEPTEMBER 23, 2019"
How M-Pesa Can Power Demonetization,"SEPTEMBER 20, 2019"
Safaricom Investment Co-operative Breaks Ground for The Zaria Village,"SEPTEMBER 18, 2019"
CAK penalizes Moringa School for merger without approval,"SEPTEMBER 11, 2019"
Kenya Mortgage Refinance Company Gets Ksh 1 Billion Funding from Banks,"SEPTEMBER 6, 2019"
"Kenya’s rate cap limits lending to SMEs, leading to reduced bank earnings – Fitch","SEPTEMBER 6, 2019"
Safaricom Investment Co-operative Unveils The Zaria Village,"SEPTEMBER 6, 2019"
EA Portland to sell idle land to settle debts,"SEPTEMBER 5, 2019"
Kenya Planters Co-operative Union assets put up for sale amid struggle with debt & receivership,"AUGUST 26, 2019"
"Future of ARM employees, creditors & minority shareholders uncertain after court stops sale of assets","AUGUST 26, 2019"
GT Bank eyeing expansion in East Africa.,"AUGUST 22, 2019"
Kenya Bankers to rely on innovation and affordable loans to drive growth,"AUGUST 22, 2019"
Digitization is shrinking jobs in Kenya’s banking sector.,"AUGUST 19, 2019"
Saccos embrace digital lending,"AUGUST 15, 2019"
CMA’s second quarter domestic performance,"AUGUST 7, 2019"
CIC group Appoints Georgina Malombe as an Independent Director.,"AUGUST 1, 2019"
Capital Markets Second quarter performance.,"JULY 26, 2019"
East Africa’s First Derivatives Market Goes Live,"JULY 4, 2019"
Local Banks partner with the MasterCard Foundation to empower youth,"JUNE 25, 2019"
Banks’ role in promoting economic expansion in Kenya,"JUNE 17, 2019"
Kenya’s Derivatives Market to go live on 4th July,"JUNE 26, 2019"
More consolidation expected in Kenya’s banking sector,"JUNE 6, 2019"
Kenya launches mortgage refinance company,"MAY 24, 2019"
Equity Group seeks permission to start operating in Ethiopia as Q1 Profit rises by 6.1%,"MAY 10, 2019"
Kenya Airways to be Exempted from Paying Taxes Under New proposal by parliament,"MAY 8, 2019"
National Bank to delist from NSE if takeover deal is approved,"MAY 7, 2019"
Equity Bank to allocate staff additional Sh8.6Bn worth of shares in an ESOP,"APRIL 12, 2019"
Guest Post; Self-regulation necessary to grow Digital Lending in Kenya,"APRIL 2, 2019"
Central Bank voices concern over unregulated mobile lending,"APRIL 1, 2019"
Equity Group’s net earnings jump 4% to KSh 19.7 billion,"MARCH 27, 2019"
Why every organization is now a technology firm,"APRIL 2, 2020"
South African based Absa group looking to enter Ethiopian market,"MARCH 12, 2019"
"Citi optimistic about Kenya’s 2019 growth, says Shilling is overvalued","MARCH 6, 2019"
Fuliza﻿ will have beneficial impact on Mpesa – Analysts,"MARCH 4, 2019"
Kenya Banking Stocks Up 12.6% in 2019,"FEBRUARY 18, 2019"
Kenol Kobil Was The Most Liquid Company at the NSE in 2018,"FEBRUARY 7, 2019"
Dar Bourse Extends Trading Hours to Boost Activity,"FEBRUARY 7, 2019"
CBA and NIC Merger a Credit Positive – Moody’s,"FEBRUARY 4, 2019"
Family Bank Charged with Ksh64.5Mn Penalty for its Role in NYS,"JANUARY 24, 2019"
Perfomance at the NSE Unchanged after the Attack,"JANUARY 18, 2019"
Imperial Bank Depositors to Start Receiving Their Money in Two Weeks,"DECEMBER 11, 2018"
Mobile Loan Market Leading Kenyans To Financial Exclusion: Survey,"NOVEMBER 20, 2018"
CBK Upholds Ksh392.5M Fine On Five Banks Due To Money Laundering Fears,"NOVEMBER 16, 2018"
Kenyans Have At Least 7 Mobile Loans At Any Given Time – Report,"NOVEMBER 16, 2018"
NSE 20 Share Index Hits 10 Year Low!,"OCTOBER 17, 2018"
Five Banks Fined For Handling NYS Fraud Money,"SEPTEMBER 12, 2018"
Stanbic Records Best Half Year Profit Performance among Banks,"SEPTEMBER 6, 2018"
StanChart eyes Ethiopian Market,"SEPTEMBER 3, 2018"
Kenya Loan Apps Hit 49; M-Shwari Controls 29% of the Digital Lending Market Share,"SEPTEMBER 3, 2018"
Equity Bank Captures 47% Share of Banking Agents in Kenya – CBK Report,"AUGUST 31, 2018"
Kenyan Banks regional subsidiaries hit 306 branches,"AUGUST 28, 2018"
How did Safaricom become Kenya’s most successful Telco?,"AUGUST 20, 2018"
Branch & Tala disperse $244.7 Mn and $99.07 Mn since inception,"AUGUST 13, 2018"
Imperial Bank’s Receivership Period Extended by 70 Days,"AUGUST 6, 2018"
Guest Opinion; How Nairobi Matatus Defied the Will of Kenya’s Cashless Policy Makers,"AUGUST 3, 2018"
Kenya Could Benefit Further from a Privatisation-Centric Financial Market- CMA Paper,"JULY 31, 2018"
Kenya Based conglomerate Simba Corp Eyes Ethiopian Market,"JULY 31, 2018"
CBK to Seek Another Receivership Extension for Imperial Bank,"JULY 30, 2018"
Chase Bank Resumes Operations Under SBM Bank (Kenya) Ltd,"JULY 24, 2018"
Interview: mSurvey Leverages on Mobile Phone Penetration in Africa to Help Companies Improve Consumer Experience,"JULY 20, 2018"
CBK to Begin new Process of Seeking Imperial Bank Investor,"JULY 19, 2018"
"How The Chinese, Opera Browser & A Bitcoin Mining Company Are About To Change African Payments","SEPTEMBER 29, 2020"
Victoria Bank of Kenya obtains $10Mn to improve lending to SME’s,"JULY 5, 2018"
"KBA opposes ‘RobinHood Tax’ on bank transfers above Ksh 500,000","JULY 4, 2018"
Stakeholders’ diverse views on the Rate Cap Law,"JUNE 19, 2018"
"Mobile Lending Sector on the Spotlight as Number of Blacklisted Borrowers Hits 500,000","JUNE 8, 2018"
Safaricom FY2018 Results analysis,"MAY 18, 2018"
Market Capitalisation Increases 55.62% in Q1 2018- CMA Report,"MAY 11, 2018"
14 Lake Region Governors Set to Acquire Bank Under Economic Bloc,"APRIL 23, 2018"
"Safaricom is The Best Company to Work for in 2018, Brighter Monday Reports","APRIL 11, 2018"
35% of Adult Kenyan Phone owners Borrow Digitally – FSD Survey,"APRIL 3, 2018"
Equity Bank Reports 14% growth in Full Year Net Earnings,"MARCH 22, 2018"
Banking sector rally pushes Kenya’s Stock Market to New All Time High,"MARCH 20, 2018"
IFRS9-A blameworthy Accounting that Banking Sector Will Prevail Over,"MARCH 15, 2018"
"Joshua Oigara; For KQ, Every Cloud has a Silver Lining","MARCH 7, 2018"
Weekly Market Commentary,"FEBRUARY 18, 2018"
Coop Bank emerges overall winner of Catalyst Awards,"FEBRUARY 7, 2018"
Weekly Market Commentary,"FEBRUARY 5, 2018"
Citi Picks Kenya Among Top Frontier Markets to Watch in 2018,"OCTOBER 8, 2019"
Weekly Market Commentary,"JANUARY 14, 2018"
Tuskys expands its Supplier Financing facility by 50% to Sh 4.5 Billion,"JANUARY 8, 2018"
The Easiest Way to Save on Your Power Bills,"DECEMBER 18, 2017"
Weekly Market Commentary,"DECEMBER 17, 2017"
Weekly Market Report (4th-8th Dec),"DECEMBER 11, 2017"
Weekly Market Commentary,"NOVEMBER 20, 2017"
Weekly Market Commentary,"NOVEMBER 12, 2017"
Weekly Market Commentary,"NOVEMBER 5, 2017"
Weekly Market Commentary,"OCTOBER 30, 2017"
Weekly Market Commentary,"OCTOBER 22, 2017"
Weekly Market Analysis,"OCTOBER 15, 2017"
Politics & Markets; How Stocks have performed Since Supreme Court Ruling,"OCTOBER 15, 2017"
Nakumatt owners to cede 51% stake if Tuskys Merger is approved,"OCTOBER 14, 2017"
Weekly Market Analysis,"OCTOBER 9, 2017"
"PesaLink wins global award, breaches Ksh 15 billion gross transactions value","OCTOBER 8, 2017"
Geopoll Survey Ranks Equity Bank as Most preferred lender in Kenya,"OCTOBER 5, 2017"
Weekly Market Commentary,"OCTOBER 1, 2017"
"Tuskys Takes over Troubled Nakumatt Supermarkets, Its biggest competitor","SEPTEMBER 19, 2017"
Weekly Market Commentary,"SEPTEMBER 18, 2017"
Rwanda’s Largest Bank Appoints Kenyan CEO,"SEPTEMBER 13, 2017"
Weekly Market Commentary,"SEPTEMBER 11, 2017"
How to Squeeze Every Penny out of Lenders,"SEPTEMBER 7, 2017"
Weekly Market Commentary,"SEPTEMBER 4, 2017"
Britam Report: Effects of the Proposed Treasury Single Account,"SEPTEMBER 1, 2017"
Weekly Market Commentary,"AUGUST 28, 2017"
Weekly Market Analysis,"AUGUST 20, 2017"
Surge in Kenyan Banking Stocks Triggers Key Index ‘NSE 20’ to Highest level Since Oct 2015,"AUGUST 14, 2017"
Weekly Market Commentary,"AUGUST 14, 2017"
Kenya General Elections 2017; The Weekly Market Update,"AUGUST 7, 2017"
"Weekly Market Commentary (July 24 – 28, 2017)","JULY 31, 2017"
National Bank Kenya Half Year 2017 Earnings Down 42%,"JULY 27, 2017"
Weekly Market Analysis,"JULY 23, 2017"
Video; Kenya Could Review Rate Cap Law in the Next Parliament – Govt Official,"AUGUST 4, 2017"
Weekly Market Commentary (July 10 – 14),"JULY 18, 2017"
mVisa Takes on M-Pesa & Pesalink with Free Mobile Money Transfer Service,"JULY 17, 2017"
Week 27 Market Report,"JULY 11, 2017"
NSE; Week 26 Market Commentary,"JULY 3, 2017"
Safaricom Begins Major Upgrade of M-Pesa To New Platform,"JUNE 30, 2017"
Weekly Market Wrap-up (June 19 – 23),"JUNE 27, 2017"
NSE Weekly Market Review,"JUNE 19, 2017"
Safaricom Market Cap Nears Record Sh 1 Trillion,"JUNE 13, 2017"
Villa Rosa Kempinski Parent Company acquires 35% of Hemingways,"JUNE 12, 2017"
NSSF Injects Sh 2.9 Billion Into Liquidity-Starved National Bank of Kenya,"JUNE 12, 2017"
Half of Tuskys Suppliers Sign Up For ‘Supplier Financing Program’,"JUNE 11, 2017"
Dubai Islamic Bank Begins Operations in Kenya with Three Branches,"JUNE 11, 2017"
"Equity Bank Shuts Down Seven Branches in South Sudan, declares it “Dormant”","MAY 24, 2017"
"2017 African Banker Awards Nominees; Kenya, SA, Morocco & Nigeria Dominate","MAY 4, 2017"
Kenya’s Stock Market Hits New 2017 High (Charts),"APRIL 10, 2017"
Q1 2017 Market Report,"APRIL 5, 2017"
CBK Invites Investors To Take Equity Stake in Chase Bank,"MARCH 30, 2017"
"NMG Stock Up 33% Since Feb, Earnings Release Next Week","MARCH 30, 2017"
NSE 20 Share Index Crosses 3000 Mark for First Time in March 2017,"MARCH 22, 2017"
I&M Bank Rwanda IPO Oversubscribed by 209%,"MARCH 21, 2017"
CBK Governor Patrick Njoroge sees Chase Bank’s receivership over soon,"MARCH 21, 2017"
"Co-op Bank posts 15% increase in Profits Before Tax, Recommends 1:5 Bonus Issue","MARCH 17, 2017"
Tuskys’ Western Region Internship recruitment attracts Over 7000 Applicants,"MARCH 10, 2017"
Interswitch expands its ‘VERVE’ payment network to 12 Kenyan Banks,"FEBRUARY 27, 2017"
Interview; Barclays Kenya CEO Sees a Challenging 2017 but Remains Optimistic,"FEBRUARY 26, 2017"
Market Dominance Report Proposes Splitting of M-Pesa from Safaricom,"FEBRUARY 23, 2017"
Barclays Kenya Posts Impressive Top Line Growth in a Challenging Environment,"FEBRUARY 23, 2017"
Rwanda I&M Bank IPO Extended To 10th March,"FEBRUARY 23, 2017"
Rwanda sets I&M Bank IPO at USD 0.11 per share,"FEBRUARY 15, 2017"
"Tuskys wins contract to serve food to 10,000 2jiajiri interns","FEBRUARY 7, 2017"
European Investment Bank Lent EUR 92M to East African SMEs in 2016,"JANUARY 16, 2017"
"NSE 20 Share Index slips below 3000, Sh 136 Billion Lost in 11 Days","JANUARY 16, 2017"
CBA Group to operate in Rwanda as a Micro-finance Institution,"JANUARY 11, 2017"
Kenyan Stocks among Franklin Templeton Top Holdings in latest fillings,"JANUARY 11, 2017"
Coop Bank Kenya Q3 Net Profit Jumps 22% to 10.5B,"NOVEMBER 17, 2016"
"BARCLAYS BANK KENYA Q3 RESULTS ANALYSIS, STOCK HITS 2 MONTH HIGH","NOVEMBER 16, 2016"
National Bank Kenya appoints four to its management team,"NOVEMBER 11, 2016"
October 2016 in Charts,"JANUARY 12, 2017"
Opinion; Banks should Innovate to protect income streams,"JANUARY 11, 2017"
Does the rate Cap Really Apply to Mshwari Mobile Loans?,"SEPTEMBER 20, 2016"
Safaricom to roll out IT Products to boost Africa’s Agriculture,"SEPTEMBER 8, 2016"
Kenya August 2016 Market Report,"JANUARY 11, 2017"
"NSE On a Recovery Mode, boosted by Banking Sector","AUGUST 31, 2016"
Fall in Bank Stocks Push NSE 20 Share Index To a 5 Year Low,"AUGUST 30, 2016"
Are Satanic Forces Influencing Kenyan Rates Policy? Exotix Partners,"JANUARY 11, 2017"
NSE Kenya had the ugliest week since 2008,"AUGUST 28, 2016"
Nairobi Securities Exchange Lost Ksh 106 Billion In a Day!,"AUGUST 26, 2016"
Coop Bank Kenya half year net profit up 19pc to Ksh 7.41 Billion,"AUGUST 17, 2016"
HF Group HY2016 Net Profits up 27 Per Cent to KES 613Mn,"JANUARY 4, 2017"
Safaricom’s value now Higher than all NSE Banks & EABL merged,"AUGUST 3, 2016"
Kenyan Banks Lending Rates Rise as at June 2016…,"AUGUST 1, 2016"
CMA Approves ARM Cement to give employees 21Million shares via ESOP,"JULY 26, 2016"
Three Kenyan Banks among the Top 10 Fastest growing lenders in Africa,"JULY 4, 2016"
"NSE 20 nears a 4-year Low, Turnover Down by 70% But KES very steady","JUNE 23, 2016"
"Centum Hits 8 Month High, Uchumi at An All Time Low, Kenya Power 10 Yr Low","JUNE 16, 2016"
Jamii Bora CEO Sam Kimani appointed NSE Chairman,"JUNE 6, 2016"
"NSE 20 Share Index on a 5-Week Low,Foreign buys post a 2016 high","MAY 30, 2016"
CBK’s Patrick Njoroge awarded ‘Central Bank Governor of the Year’,"MAY 26, 2016"
Martin Odiwuor returns to EABL Board,"MAY 26, 2016"
Daily Market Report May 5th,"MAY 5, 2016"
"Banking sector pushes all indices to the red zone, Speculative counters on the Green","APRIL 28, 2016"
"NSE 20 Share Index soars above 4000, Focus on Safaricom & More..","APRIL 25, 2016"
"Stocks Flatter, Kenya Shilling stable as 182-Day T-bill rate drops","APRIL 13, 2016"
NSE 20 Share Index Falls as KES strengthens to an 8-Month Record,"APRIL 11, 2016"
Heavy Trading spotted in the Banking sector as the Main Index rises to 4054.29,"APRIL 7, 2016"
NSE 20 Share Index up as Britam Gains by 18.50% in two days,"APRIL 6, 2016"
Equity Bank Posts a 0.6% Increase in Profit After Tax to KES 17.3 Billion,"MARCH 8, 2016"
CFC Stanbic FY 2015 Profits After Tax Decline by 13.7%,"MARCH 4, 2016"
NSE 20 Share Nears 4000 Mark as Uchumi touches an all time Low,"MARCH 3, 2016"
"Market Report; NSE 20 Share Index Up,Barclays Kenya Falls","MARCH 2, 2016"
Weekly Market Report; TransCentury Touches All-Time-Low,"FEBRUARY 13, 2016"
Weekly Market Report; Foreign Investors Spotted pulling out Of Barclays,"FEBRUARY 8, 2016"
"NSE Rises for the Second Day, Kenya Shilling Unshakable","FEBRUARY 4, 2016"
Foreign Investors Emerge Net Buyers in January at NSE,"FEBRUARY 3, 2016"
January 2016 Market Report;NSE Investors wealth fell by Ksh 120 Billion,"FEBRUARY 9, 2016"
Market Report- Kenya Power Share Price hits 7 Year Low,"JANUARY 29, 2016"
The Daily Market Report-25th Jan 2016,"JANUARY 25, 2016"
Weekly Market Report 18 – 22 January,"JANUARY 24, 2016"
"NSE 20 Share Index falls below 3800,Ksh 26 Billion lost","JANUARY 21, 2016"
What’s the best rate for a 30-Day loan in Kenya’s Digital Credit?,"JANUARY 19, 2016"
Weekly Market Report 11th -15th January 2016,"JANUARY 16, 2016"
Market Report 14/01/2016,"JANUARY 14, 2016"
Market Report 08/01/2016,"JANUARY 8, 2016"
Market Report On 7th Jan 2016,"JANUARY 7, 2016"
Market Report 6th Jan 2016,"JANUARY 6, 2016"
The Daily Market Report 4-Jan-2016,"JANUARY 4, 2016"
Market Report 23/12/2015,"DECEMBER 24, 2015"
"Over 40,000 Imperial Bank depositors fail to claim refund","DECEMBER 23, 2015"
Kenya Commercial Bank Analysis,"JANUARY 11, 2017"
Market Report 18/12/2015,"DECEMBER 18, 2015"
Daily Market Report 16/12/2015,"DECEMBER 16, 2015"
Four NSE Stocks To Buy In December 2015,"JANUARY 11, 2017"
Market Report 15/12/2015,"DECEMBER 15, 2015"
Market Report 14/12/2015,"DECEMBER 14, 2015"
The Weekly Market Report,"DECEMBER 12, 2015"
NSE Market Report 11/12/2015,"DECEMBER 11, 2015"
Market Report 10/12/2015,"DECEMBER 10, 2015"
Daily Market Report 9/12/2015,"DECEMBER 9, 2015"
Daily Market Report 8/12/2015,"DECEMBER 9, 2015"
NSE Market Report 7/12/2015,"DECEMBER 7, 2015"
Weekly Market Report 30 Nov – 4th Dec 2015,"DECEMBER 5, 2015"
NSE REPORT 2/12/2015,"DECEMBER 2, 2015"
"44,300 Imperial Bank Depositors to get full access of their cash","DECEMBER 2, 2015"
Daily Stock Market Report 30/11/2015,"NOVEMBER 30, 2015"
Market Report 27/11/2015,"NOVEMBER 27, 2015"
NSE Market Report 25/11/2015,"NOVEMBER 25, 2015"
Market Report 24/11/2015,"NOVEMBER 24, 2015"
CBA Bank & Safaricom hunting in Rwanda,"NOVEMBER 24, 2015"
National Bank named Kenya’s “Best Bank in Customer Service”,"NOVEMBER 24, 2015"
Market Report 23 Nov 2015; NSE 20 Share Index hits above 4000,"NOVEMBER 24, 2015"
WEEKLY MARKET REPORT,"NOVEMBER 21, 2015"
Market Report on 19th November 2015,"NOVEMBER 19, 2015"
Licensed Stock Brokers & Investment Banks,"NOVEMBER 19, 2015"
Tough market for Kenyan banks In Uganda,"NOVEMBER 19, 2015"
NSE Daily Market Report,"NOVEMBER 17, 2015"
Healthy stocks to Buy at NSE that were affected by interest rates rise,"NOVEMBER 18, 2015"
This Week; Cytonn Investments Market reccomendations,"NOVEMBER 16, 2015"
